group,sentence,verb,construction
33,James punched Bob the wall.,punched,ditransitive
33,Steve cut Adam the box.,cut,ditransitive
33,Tom got Paul the book.,got,ditransitive
33,Bill pulled the door into the house.,pulled,caused-motion
33,Sam punched the table to the airport.,punched,caused-motion
33,Frank cut the ball through the hole.,cut,caused-motion
33,Thomas got the fridge over the fence.,got,caused-motion
33,Andrew pulled the window open.,pulled,resultative
33,Jack punched the book apart.,punched,resultative
33,Mike cut the tree down.,cut,resultative
33,David got the door open.,got,resultative
34,Harry sliced the book.,sliced,transitive
34,Frank tore the bread.,tore,transitive
34,Mike punched the wall.,punched,transitive
34,Paul pushed the fridge.,pushed,transitive
34,David sliced Eric the box.,sliced,ditransitive
34,Sam tore Tom the laptop.,tore,ditransitive
34,Henry punched Thomas the book.,punched,ditransitive
34,Adam pushed Michael the laptop.,pushed,ditransitive
34,Andrew sliced the ball to the airport.,sliced,caused-motion
34,Steve tore the wall into the plane.,tore,caused-motion
34,Bill punched the table over the balcony.,punched,caused-motion
34,James pushed the window into the net.,pushed,caused-motion
34,Bob sliced the bread apart.,sliced,resultative
34,George tore the tree down.,tore,resultative
34,John punched the door shut.,punched,resultative
34,Jack pushed the door shut.,pushed,resultative
35,Steve tore the wall.,tore,transitive
35,Andrew punched the table.,punched,transitive
35,Bob hit the fridge.,hit,transitive
35,Mike pulled the tree.,pulled,transitive
35,Michael tore Eric the bread.,tore,ditransitive
35,James punched Tom the book.,punched,ditransitive
35,Frank hit John the door.,hit,ditransitive
35,Paul pulled David the window.,pulled,ditransitive
35,Jack tore the laptop into the house.,tore,caused-motion
35,Henry punched the wall through the hole.,punched,caused-motion
35,Sam hit the window through the air.,hit,caused-motion
35,George pulled the ball off the bridge.,pulled,caused-motion
35,Bill tore the tree down.,tore,resultative
35,Adam punched the door shut.,punched,resultative
35,Thomas hit the wall down.,hit,resultative
35,Harry pulled the door open.,pulled,resultative
36,Henry pulled the tree.,pulled,transitive
36,Frank cut the bread.,cut,transitive
36,Sam threw the book.,threw,transitive
36,Bob punched the book.,punched,transitive
36,George pulled Eric the window.,pulled,ditransitive
36,Thomas cut Paul the tree.,cut,ditransitive
36,James threw Andrew the laptop.,threw,ditransitive
36,John punched Tom the door.,punched,ditransitive
36,Jack pulled the door onto the roof.,pulled,caused-motion
36,David cut the ball into the net.,cut,caused-motion
36,Steve threw the window to the beach.,threw,caused-motion
36,Adam punched the wall through the forest.,punched,caused-motion
36,Mike pulled the ball free.,pulled,resultative
36,Michael cut the box open.,cut,resultative
36,Bill threw the box open.,threw,resultative
36,Harry punched the table apart.,punched,resultative
37,Harry kicked the ball.,kicked,transitive
37,Michael hit the wall.,hit,transitive
37,Paul sliced the bread.,sliced,transitive
37,Bill threw the window.,threw,transitive
37,Jack kicked Sam the door.,kicked,ditransitive
37,Eric hit Tom the fridge.,hit,ditransitive
37,George sliced Bob the book.,sliced,ditransitive
37,David threw Mike the book.,threw,ditransitive
37,Andrew kicked the box onto the roof.,kicked,caused-motion
37,Henry hit the door off the bridge.,hit,caused-motion
37,John sliced the ball into the house.,sliced,caused-motion
37,Adam threw the box through the forest.,threw,caused-motion
37,Steve kicked the wall down.,kicked,resultative
37,Frank hit the window open.,hit,resultative
37,James sliced the box apart.,sliced,resultative
37,Thomas threw the laptop apart.,threw,resultative
38,Jack pulled the tree.,pulled,transitive
38,Frank tore the tree.,tore,transitive
38,Paul hit the door.,hit,transitive
38,Tom cut the ball.,cut,transitive
38,Thomas pulled David the window.,pulled,ditransitive
38,George tore Bob the bread.,tore,ditransitive
38,Eric hit Henry the window.,hit,ditransitive
38,John cut James the bread.,cut,ditransitive
38,Adam pulled the door into the house.,pulled,caused-motion
38,Andrew tore the wall into the plane.,tore,caused-motion
38,Bill hit the fridge onto the roof.,hit,caused-motion
38,Mike cut the box onto the bed.,cut,caused-motion
38,Harry pulled the ball free.,pulled,resultative
38,Steve tore the laptop apart.,tore,resultative
38,Sam hit the wall down.,hit,resultative
38,Michael cut the tree down.,cut,resultative
39,Eric got the door.,got,transitive
39,Steve sliced the ball.,sliced,transitive
39,Mike tore the tree.,tore,transitive
39,Tom cut the tree.,cut,transitive
39,Michael got David the ball.,got,ditransitive
39,Harry sliced Adam the bread.,sliced,ditransitive
39,Jack tore Bob the laptop.,tore,ditransitive
39,Andrew cut John the bread.,cut,ditransitive
39,George got the book to the beach.,got,caused-motion
39,Bill sliced the book over the fence.,sliced,caused-motion
39,Sam tore the bread to the airport.,tore,caused-motion
39,Frank cut the ball into the net.,cut,caused-motion
39,James got the fridge open.,got,resultative
39,Paul sliced the box apart.,sliced,resultative
39,Henry tore the wall down.,tore,resultative
39,Thomas cut the box open.,cut,resultative
40,Andrew threw the laptop.,threw,transitive
40,Mike pushed the laptop.,pushed,transitive
40,Bob cut the box.,cut,transitive
40,John hit the wall.,hit,transitive
40,Bill threw Henry the book.,threw,ditransitive
40,Adam pushed Eric the door.,pushed,ditransitive
40,Thomas cut Frank the bread.,cut,ditransitive
40,George hit Jack the window.,hit,ditransitive
40,Steve threw the window into the net.,threw,caused-motion
40,David pushed the fridge through the forest.,pushed,caused-motion
40,Tom cut the ball into the water.,cut,caused-motion
40,Sam hit the door to the beach.,hit,caused-motion
40,Paul threw the box open.,threw,resultative
40,Harry pushed the window open.,pushed,resultative
40,James cut the tree down.,cut,resultative
40,Michael hit the fridge open.,hit,resultative
41,Andrew hit the window.,hit,transitive
41,Adam pulled the ball.,pulled,transitive
41,Bob punched the wall.,punched,transitive
41,Henry cut the ball.,cut,transitive
41,John hit Jack the door.,hit,ditransitive
41,Frank pulled Thomas the door.,pulled,ditransitive
41,Tom punched Paul the book.,punched,ditransitive
41,Mike cut George the bread.,cut,ditransitive
41,David hit the wall into the net.,hit,caused-motion
41,Bill pulled the window through the hole.,pulled,caused-motion
41,Michael punched the table to the hospital.,punched,caused-motion
41,James cut the box to the airport.,cut,caused-motion
41,Harry hit the fridge open.,hit,resultative
41,Steve pulled the tree down.,pulled,resultative
41,Eric punched the door shut.,punched,resultative
41,Sam cut the tree down.,cut,resultative
42,Mike kicked the box.,kicked,transitive
42,David pulled the tree.,pulled,transitive
42,Sam cut the ball.,cut,transitive
42,Bob threw the box.,threw,transitive
42,Tom kicked Bill the ball.,kicked,ditransitive
42,Thomas pulled Paul the window.,pulled,ditransitive
42,Jack cut Frank the bread.,cut,ditransitive
42,Andrew threw James the laptop.,threw,ditransitive
42,Henry kicked the wall to the hospital.,kicked,caused-motion
42,Eric pulled the ball into the house.,pulled,caused-motion
42,Michael cut the tree off the bridge.,cut,caused-motion
42,George threw the window into the plane.,threw,caused-motion
42,Steve kicked the door open.,kicked,resultative
42,Harry pulled the door open.,pulled,resultative
42,John cut the box open.,cut,resultative
42,Adam threw the book open.,threw,resultative
43,Tom tore the tree.,tore,transitive
43,Bob sliced the box.,sliced,transitive
43,Adam kicked the door.,kicked,transitive
43,George pulled the door.,pulled,transitive
43,Bill tore David the bread.,tore,ditransitive
43,Thomas sliced Steve the book.,sliced,ditransitive
43,Michael kicked Andrew the wall.,kicked,ditransitive
43,James pulled Henry the ball.,pulled,ditransitive
43,Paul tore the wall onto the elevator.,tore,caused-motion
43,Mike sliced the bread to the hospital.,sliced,caused-motion
43,Frank kicked the box into the plane.,kicked,caused-motion
43,Harry pulled the window into the house.,pulled,caused-motion
43,John tore the laptop apart.,tore,resultative
43,Sam sliced the ball apart.,sliced,resultative
43,Eric kicked the ball free.,kicked,resultative
43,Jack pulled the tree down.,pulled,resultative
44,Henry sliced the ball.,sliced,transitive
44,Adam tore the tree.,tore,transitive
44,Tom threw the window.,threw,transitive
44,Harry cut the tree.,cut,transitive
44,Bill sliced John the bread.,sliced,ditransitive
44,Jack tore James the bread.,tore,ditransitive
44,Michael threw David the laptop.,threw,ditransitive
44,Steve cut Eric the ball.,cut,ditransitive
44,Paul sliced the box into the water.,sliced,caused-motion
44,Thomas tore the laptop to the hospital.,tore,caused-motion
44,Bob threw the box over the balcony.,threw,caused-motion
44,George cut the bread through the air.,cut,caused-motion
44,Andrew sliced the book apart.,sliced,resultative
44,Mike tore the wall down.,tore,resultative
44,Sam threw the book open.,threw,resultative
44,Frank cut the box open.,cut,resultative
45,Bill threw the box.,threw,transitive
45,Tom sliced the bread.,sliced,transitive
45,Andrew pulled the window.,pulled,transitive
45,Mike got the ball.,got,transitive
45,Bob threw Steve the window.,threw,ditransitive
45,David sliced Jack the box.,sliced,ditransitive
45,Adam pulled James the ball.,pulled,ditransitive
45,John got George the door.,got,ditransitive
45,Paul threw the laptop onto the roof.,threw,caused-motion
45,Harry sliced the ball onto the elevator.,sliced,caused-motion
45,Henry pulled the tree into the plane.,pulled,caused-motion
45,Sam got the fridge over the balcony.,got,caused-motion
45,Michael threw the book open.,threw,resultative
45,Thomas sliced the book apart.,sliced,resultative
45,Frank pulled the door open.,pulled,resultative
45,Eric got the book closed.,got,resultative
46,Adam sliced the bread.,sliced,transitive
46,Bob hit the window.,hit,transitive
46,Sam tore the bread.,tore,transitive
46,Mike threw the window.,threw,transitive
46,Andrew sliced Bill the box.,sliced,ditransitive
46,Michael hit Eric the door.,hit,ditransitive
46,James tore George the tree.,tore,ditransitive
46,Tom threw Frank the book.,threw,ditransitive
46,Henry sliced the book to the hospital.,sliced,caused-motion
46,David hit the fridge to the beach.,hit,caused-motion
46,Paul tore the laptop through the hole.,tore,caused-motion
46,John threw the box to the airport.,threw,caused-motion
46,Harry sliced the ball apart.,sliced,resultative
46,Steve hit the wall down.,hit,resultative
46,Jack tore the wall down.,tore,resultative
46,Thomas threw the laptop apart.,threw,resultative
47,Bob threw the book.,threw,transitive
47,Andrew tore the laptop.,tore,transitive
47,Thomas pushed the window.,pushed,transitive
47,Jack pulled the door.,pulled,transitive
47,Paul threw Mike the window.,threw,ditransitive
47,Harry tore James the wall.,tore,ditransitive
47,Eric pushed Bill the laptop.,pushed,ditransitive
47,Sam pulled Henry the window.,pulled,ditransitive
47,George threw the box into the plane.,threw,caused-motion
47,Steve tore the tree into the net.,tore,caused-motion
47,Adam pushed the door off the bus.,pushed,caused-motion
47,David pulled the ball to the beach.,pulled,caused-motion
47,John threw the laptop apart.,threw,resultative
47,Tom tore the bread apart.,tore,resultative
47,Frank pushed the fridge open.,pushed,resultative
47,Michael pulled the tree down.,pulled,resultative
48,George punched the door.,punched,transitive
48,Paul got the ball.,got,transitive
48,Sam threw the book.,threw,transitive
48,James pulled the window.,pulled,transitive
48,Adam punched Thomas the table.,punched,ditransitive
48,Steve got John the fridge.,got,ditransitive
48,Andrew threw Jack the box.,threw,ditransitive
48,Mike pulled Henry the door.,pulled,ditransitive
48,Tom punched the wall over the balcony.,punched,caused-motion
48,Harry got the door through the forest.,got,caused-motion
48,Eric threw the window into the water.,threw,caused-motion
48,Michael pulled the ball through the air.,pulled,caused-motion
48,Bob punched the book apart.,punched,resultative
48,David got the book closed.,got,resultative
48,Bill threw the laptop apart.,threw,resultative
48,Frank pulled the tree down.,pulled,resultative
49,Sam got the fridge.,got,transitive
49,Michael pushed the fridge.,pushed,transitive
49,Andrew threw the book.,threw,transitive
49,Steve punched the door.,punched,transitive
49,Mike got Eric the book.,got,ditransitive
49,Frank pushed David the laptop.,pushed,ditransitive
49,Bob threw John the window.,threw,ditransitive
49,Tom punched George the table.,punched,ditransitive
49,Jack got the door over the balcony.,got,caused-motion
49,Bill pushed the window to the hospital.,pushed,caused-motion
49,Harry threw the box off the bridge.,threw,caused-motion
49,Thomas punched the book into the water.,punched,caused-motion
49,Adam got the ball stuck.,got,resultative
49,Paul pushed the door shut.,pushed,resultative
49,James threw the laptop apart.,threw,resultative
49,Henry punched the wall down.,punched,resultative
50,James cut the tree.,cut,transitive
50,Bob pushed the door.,pushed,transitive
50,David sliced the book.,sliced,transitive
50,Mike threw the box.,threw,transitive
50,Michael cut Tom the box.,cut,ditransitive
50,Harry pushed Bill the window.,pushed,ditransitive
50,Jack sliced Adam the ball.,sliced,ditransitive
50,Steve threw Henry the book.,threw,ditransitive
50,Eric cut the ball through the air.,cut,caused-motion
50,Sam pushed the fridge through the forest.,pushed,caused-motion
50,John sliced the box into the plane.,sliced,caused-motion
50,Andrew threw the laptop through the hole.,threw,caused-motion
50,Paul cut the bread apart.,cut,resultative
50,Thomas pushed the laptop shut.,pushed,resultative
50,George sliced the bread apart.,sliced,resultative
50,Frank threw the window open.,threw,resultative
51,James tore the wall.,tore,transitive
51,Thomas punched the table.,punched,transitive
51,Henry pulled the window.,pulled,transitive
51,David threw the window.,threw,transitive
51,Michael tore Sam the laptop.,tore,ditransitive
51,Tom punched Bill the wall.,punched,ditransitive
51,Adam pulled Mike the door.,pulled,ditransitive
51,Jack threw Frank the laptop.,threw,ditransitive
51,Harry tore the tree into the net.,tore,caused-motion
51,George punched the door over the balcony.,punched,caused-motion
51,Paul pulled the ball into the water.,pulled,caused-motion
51,Eric threw the book into the plane.,threw,caused-motion
51,John tore the bread apart.,tore,resultative
51,Bob punched the book apart.,punched,resultative
51,Steve pulled the tree down.,pulled,resultative
51,Andrew threw the box open.,threw,resultative
52,Eric tore the laptop.,tore,transitive
52,Henry sliced the ball.,sliced,transitive
52,Paul threw the box.,threw,transitive
52,John cut the bread.,cut,transitive
52,Bob tore Bill the bread.,tore,ditransitive
52,David sliced Steve the bread.,sliced,ditransitive
52,Andrew threw Tom the window.,threw,ditransitive
52,Mike cut Sam the ball.,cut,ditransitive
52,James tore the tree onto the elevator.,tore,caused-motion
52,Thomas sliced the box over the balcony.,sliced,caused-motion
52,Adam threw the laptop onto the bed.,threw,caused-motion
52,Harry cut the tree to the hospital.,cut,caused-motion
52,Frank tore the wall down.,tore,resultative
52,Jack sliced the book apart.,sliced,resultative
52,George threw the book open.,threw,resultative
52,Michael cut the box open.,cut,resultative
53,Mike threw the book.,threw,transitive
53,James pulled the window.,pulled,transitive
53,Eric punched the door.,punched,transitive
53,Jack hit the door.,hit,transitive
53,Andrew threw Paul the window.,threw,ditransitive
53,John pulled David the door.,pulled,ditransitive
53,Tom punched Adam the wall.,punched,ditransitive
53,Sam hit Thomas the fridge.,hit,ditransitive
53,Henry threw the laptop into the house.,threw,caused-motion
53,Bob pulled the ball to the airport.,pulled,caused-motion
53,Harry punched the book into the net.,punched,caused-motion
53,Steve hit the window into the plane.,hit,caused-motion
53,Frank threw the box open.,threw,resultative
53,George pulled the tree down.,pulled,resultative
53,Michael punched the table apart.,punched,resultative
53,Bill hit the wall down.,hit,resultative
54,Harry threw the laptop.,threw,transitive
54,Jack sliced the box.,sliced,transitive
54,Michael pulled the tree.,pulled,transitive
54,Bob kicked the door.,kicked,transitive
54,George threw James the box.,threw,ditransitive
54,John sliced Paul the bread.,sliced,ditransitive
54,Adam pulled Bill the ball.,pulled,ditransitive
54,Frank kicked Thomas the wall.,kicked,ditransitive
54,Andrew threw the window onto the bed.,threw,caused-motion
54,Eric sliced the ball into the plane.,sliced,caused-motion
54,David pulled the window into the net.,pulled,caused-motion
54,Sam kicked the ball to the beach.,kicked,caused-motion
54,Steve threw the book open.,threw,resultative
54,Henry sliced the book apart.,sliced,resultative
54,Tom pulled the door open.,pulled,resultative
54,Mike kicked the box apart.,kicked,resultative
55,Henry pushed the fridge.,pushed,transitive
55,Steve kicked the ball.,kicked,transitive
55,Thomas pulled the window.,pulled,transitive
55,Frank cut the ball.,cut,transitive
55,Harry pushed Jack the door.,pushed,ditransitive
55,Bill kicked Mike the door.,kicked,ditransitive
55,Sam pulled Paul the door.,pulled,ditransitive
55,John cut Eric the bread.,cut,ditransitive
55,Bob pushed the laptop through the hole.,pushed,caused-motion
55,James kicked the wall into the net.,kicked,caused-motion
55,Adam pulled the ball onto the elevator.,pulled,caused-motion
55,George cut the tree over the fence.,cut,caused-motion
55,Andrew pushed the window open.,pushed,resultative
55,Tom kicked the box apart.,kicked,resultative
55,Michael pulled the tree down.,pulled,resultative
55,David cut the box open.,cut,resultative
56,Jack cut the ball.,cut,transitive
56,Mike pushed the fridge.,pushed,transitive
56,Tom hit the window.,hit,transitive
56,Harry punched the wall.,punched,transitive
56,Bill cut Henry the box.,cut,ditransitive
56,James pushed George the laptop.,pushed,ditransitive
56,David hit Paul the wall.,hit,ditransitive
56,Michael punched John the book.,punched,ditransitive
56,Frank cut the tree onto the roof.,cut,caused-motion
56,Sam pushed the window to the beach.,pushed,caused-motion
56,Adam hit the fridge to the airport.,hit,caused-motion
56,Steve punched the door off the bridge.,punched,caused-motion
56,Bob cut the bread apart.,cut,resultative
56,Eric pushed the door shut.,pushed,resultative
56,Thomas hit the door open.,hit,resultative
56,Andrew punched the table apart.,punched,resultative
57,Tom threw the window.,threw,transitive
57,Bill hit the wall.,hit,transitive
57,Andrew pushed the laptop.,pushed,transitive
57,Adam pulled the ball.,pulled,transitive
57,David threw Michael the book.,threw,ditransitive
57,John hit Paul the fridge.,hit,ditransitive
57,Jack pushed Henry the fridge.,pushed,ditransitive
57,Eric pulled Mike the window.,pulled,ditransitive
57,Frank threw the box to the hospital.,threw,caused-motion
57,Steve hit the window into the water.,hit,caused-motion
57,Harry pushed the window onto the elevator.,pushed,caused-motion
57,James pulled the tree over the balcony.,pulled,caused-motion
57,Thomas threw the laptop apart.,threw,resultative
57,Bob hit the door open.,hit,resultative
57,Sam pushed the door shut.,pushed,resultative
57,George pulled the door open.,pulled,resultative
58,Mike hit the fridge.,hit,transitive
58,Eric tore the laptop.,tore,transitive
58,Thomas pulled the tree.,pulled,transitive
58,James sliced the book.,sliced,transitive
58,John hit David the wall.,hit,ditransitive
58,Sam tore Frank the wall.,tore,ditransitive
58,Adam pulled Jack the door.,pulled,ditransitive
58,Tom sliced Steve the box.,sliced,ditransitive
58,Bill hit the window into the water.,hit,caused-motion
58,Bob tore the tree onto the roof.,tore,caused-motion
58,Henry pulled the window to the airport.,pulled,caused-motion
58,Andrew sliced the bread through the air.,sliced,caused-motion
58,Paul hit the door open.,hit,resultative
58,Michael tore the bread apart.,tore,resultative
58,George pulled the ball free.,pulled,resultative
58,Harry sliced the ball apart.,sliced,resultative
59,Harry pushed the door.,pushed,transitive
59,Michael threw the box.,threw,transitive
59,Jack punched the wall.,punched,transitive
59,George hit the wall.,hit,transitive
59,David pushed Eric the fridge.,pushed,ditransitive
59,Frank threw Paul the book.,threw,ditransitive
59,Tom punched Steve the table.,punched,ditransitive
59,John hit Adam the fridge.,hit,ditransitive
59,Sam pushed the laptop into the net.,pushed,caused-motion
59,Andrew threw the laptop through the hole.,threw,caused-motion
59,James punched the book off the bus.,punched,caused-motion
59,Thomas hit the window onto the bed.,hit,caused-motion
59,Henry pushed the window open.,pushed,resultative
59,Bill threw the window open.,threw,resultative
59,Bob punched the door shut.,punched,resultative
59,Mike hit the door open.,hit,resultative
60,Jack pushed the window.,pushed,transitive
60,Thomas threw the laptop.,threw,transitive
60,James hit the fridge.,hit,transitive
60,Bob cut the ball.,cut,transitive
60,Harry pushed Tom the door.,pushed,ditransitive
60,Mike threw Henry the window.,threw,ditransitive
60,Andrew hit Michael the wall.,hit,ditransitive
60,Sam cut Paul the tree.,cut,ditransitive
60,Bill pushed the laptop to the beach.,pushed,caused-motion
60,Adam threw the box into the water.,threw,caused-motion
60,Eric hit the door to the airport.,hit,caused-motion
60,Steve cut the bread off the bridge.,cut,caused-motion
60,David pushed the fridge open.,pushed,resultative
60,George threw the book open.,threw,resultative
60,Frank hit the window open.,hit,resultative
60,John cut the box open.,cut,resultative
61,Andrew pulled the ball.,pulled,transitive
61,Harry hit the door.,hit,transitive
61,Steve cut the box.,cut,transitive
61,Bill punched the door.,punched,transitive
61,George pulled Henry the tree.,pulled,ditransitive
61,Jack hit David the window.,hit,ditransitive
61,James cut Thomas the bread.,cut,ditransitive
61,Eric punched Mike the wall.,punched,ditransitive
61,Tom pulled the door over the balcony.,pulled,caused-motion
61,John hit the wall to the hospital.,hit,caused-motion
61,Michael cut the tree off the bridge.,cut,caused-motion
61,Bob punched the table to the airport.,punched,caused-motion
61,Paul pulled the window open.,pulled,resultative
61,Sam hit the fridge open.,hit,resultative
61,Adam cut the ball open.,cut,resultative
61,Frank punched the book apart.,punched,resultative
62,Steve cut the ball.,cut,transitive
62,George kicked the wall.,kicked,transitive
62,James pulled the window.,pulled,transitive
62,Thomas got the ball.,got,transitive
62,Michael cut David the box.,cut,ditransitive
62,Bob kicked Tom the door.,kicked,ditransitive
62,Adam pulled Paul the tree.,pulled,ditransitive
62,Mike got Frank the door.,got,ditransitive
62,Henry cut the bread into the water.,cut,caused-motion
62,Jack kicked the ball through the forest.,kicked,caused-motion
62,Harry pulled the door to the beach.,pulled,caused-motion
62,Eric got the book onto the bed.,got,caused-motion
62,Andrew cut the tree down.,cut,resultative
62,Sam kicked the box apart.,kicked,resultative
62,Bill pulled the ball free.,pulled,resultative
62,John got the fridge open.,got,resultative
63,Michael pushed the door.,pushed,transitive
63,Tom tore the laptop.,tore,transitive
63,Jack kicked the box.,kicked,transitive
63,David threw the book.,threw,transitive
63,Bob pushed James the laptop.,pushed,ditransitive
63,Adam tore Thomas the tree.,tore,ditransitive
63,Bill kicked Steve the ball.,kicked,ditransitive
63,Sam threw Mike the box.,threw,ditransitive
63,George pushed the window into the plane.,pushed,caused-motion
63,Harry tore the bread into the house.,tore,caused-motion
63,Frank kicked the door into the net.,kicked,caused-motion
63,Andrew threw the window off the bus.,threw,caused-motion
63,Eric pushed the fridge open.,pushed,resultative
63,Paul tore the wall down.,tore,resultative
63,Henry kicked the wall down.,kicked,resultative
63,John threw the laptop apart.,threw,resultative
64,Eric hit the wall.,hit,transitive
64,Mike pulled the door.,pulled,transitive
64,Andrew tore the laptop.,tore,transitive
64,Steve got the ball.,got,transitive
64,George hit Paul the door.,hit,ditransitive
64,Harry pulled Frank the window.,pulled,ditransitive
64,John tore Thomas the tree.,tore,ditransitive
64,Bill got James the book.,got,ditransitive
64,Jack hit the fridge to the hospital.,hit,caused-motion
64,Michael pulled the tree off the bridge.,pulled,caused-motion
64,David tore the bread through the air.,tore,caused-motion
64,Tom got the door into the net.,got,caused-motion
64,Sam hit the window open.,hit,resultative
64,Henry pulled the ball free.,pulled,resultative
64,Bob tore the wall down.,tore,resultative
64,Adam got the fridge open.,got,resultative
65,Eric got the book.,got,transitive
65,Harry hit the fridge.,hit,transitive
65,Bob pulled the ball.,pulled,transitive
65,Steve threw the box.,threw,transitive
65,Thomas got Henry the door.,got,ditransitive
65,Michael hit Paul the wall.,hit,ditransitive
65,George pulled David the window.,pulled,ditransitive
65,Frank threw Bill the laptop.,threw,ditransitive
65,Jack got the ball off the bridge.,got,caused-motion
65,Sam hit the window through the forest.,hit,caused-motion
65,Andrew pulled the tree into the house.,pulled,caused-motion
65,James threw the book off the bus.,threw,caused-motion
65,Tom got the fridge open.,got,resultative
65,Mike hit the door open.,hit,resultative
65,John pulled the door open.,pulled,resultative
65,Adam threw the window open.,threw,resultative
66,Andrew pulled the tree.,pulled,transitive
66,John got the ball.,got,transitive
66,Frank punched the book.,punched,transitive
66,Bill tore the tree.,tore,transitive
66,Jack pulled Steve the ball.,pulled,ditransitive
66,George got Bob the door.,got,ditransitive
66,Paul punched Tom the wall.,punched,ditransitive
66,Adam tore Sam the bread.,tore,ditransitive
